PedonID,HzNum,Method,Top,Bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,RF_knd,RF_perc,RF_sz,Texture,Psand,SandSize,Pclay,pH,Effer
CLHS98P,2,Soil pit/Auger,4,39,ABt or ABw,5YR,5,6,5YR,3,4,NA,0,NA,VFSL,64,VF,17,7.6,NE
CLHS98P,3,Auger,39,56,Bk,5YR,7,6,5YR,5,6,NA,0,NA,VFSL,68,VF,15,8.1,VE
CLHS98P,4,Auger,56,84,Bk,5YR,8,4,5YR,6,6,NA,0,NA,FSL,70,F,13,8.2,VE
CLHS98P,5,Auger,84,152,BCk,5YR,7,4,5YR,6,6,NA,0,NA,FSL,75,F,9,8.3,VE
CLHS100P,1,Soil pit,0,5,NA,7.5YR,6,4,7.5YR,3,3,NA,0,NA,VFSL,76,VF,9,7.8,NE
CLHS100P,2,Soil pit/auger,5,52,NA,5YR,5,6,5YR,4,4,NA,0,NA,VFSL,70,VF,10,8,NE
CLHS100P,3,Auger,52,108,NA,5YR,6,4,5YR,4,4,NA,0,NA,VFSL,70,VF,12,8.1,VE
CLHS100P,4,Auger,108,155,NA,5YR,6,6,5YR,4,6,NA,0,NA,FSL,76,F,15,8.2,VE
Miller12P,1,Soil Pit,0,8,A,5YR,6,6,5YR,4,6,NA,0,NA,LS,85,VF,8,8.1,SL
Miller12P,2,Soil Pit,8,28,Bw,5YR,6,6,5YR,4,6,CAN,1,GR,SL,75,VF,9,8.2,ST
Miller12P,3,Soil Pit/Auger,28,100,Bk1,5YR,8,4,5YR,6,8,SST,30,GR,SL,77,F,9,8.6,VE
Miller12P,4,Auger,100,112,Bk2,5YR,7,6,5YR,5,6,SST,20,GR,LS,85,F,7,8.4,VE
Miller12P,5,Auger,112,150,Bk3,5YR,8,4,5YR,6,6,SST,30,GR,SL,75,F,9,9,VE
Miller15P,1,Soil pit,0,4,A,5YR,5,4,5YR,3,2,NA,0,NA,VFSL,76,VF,8,8,NE
Miller15P,2,Soil pit/Auger,4,84,NA,7.5YR,6,3,7.5YR,3,4,NA,0,NA,VFSL,75,VF,9,8.1,ST
Miller15P,3,Auger,84,149,Bk,7.5YR,6,4,5YR,4,4,NA,0,NA,VFSL,70,VF,12,8.2,VE
Miller16P,1,Soil Pit,0,6,A,5YR,5,4,5YR,4,4,NA,0,NA,LS,85,VF,5,8.1,VS
Miller16P,2,Soil Pit,6,19,Bk1,5YR,4,6,5YR,3,4,NA,0,NA,SL,75,VF,10,8.1,NE
Miller16P,3,Soil Pit,19,40,Bk2,5YR,4,6,5YR,3,4,CAN,1,GR,LS,80,VF,8,8.1,NE
Miller16P,4,Soil Pit/Auger,40,71,Bk3,5YR,5,6,5YR,4,4,CAN,5,GR,SL,70,F,12,8.5,VE
Miller16P,5,Auger,71,88,Bk4,5YR,6,4,5YR,4,4,SST,15,GR,SL,75,F,10,8.5,VE
Miller16P,6,Auger,88,105,Bk5,5YR,7,3,5YR,6,4,SST,25,GR,LS,80,VF,6,8.6,VE
