"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CLLU2","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LAOC3","LEMO2","OPPO","OPPO.D","PEPU7","PIED","PLPA2","SALSO","SALSO.D","SPCO","SPCR","SPCR.D","CHVI8.D","HIJA"
"IL4_7",1.66666666666667,0,0,0,5.66666666666667,2.33333333333333,0,19.6666666666667,27.6666666666667,1.33333333333333,0,0,0.333333333333333,0,0,0,0,0,0,1.66666666666667,0.666666666666667,14.3333333333333,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,2.33333333333333,0,0.333333333333333,7
"IL4_8",0,0,0,0.666666666666667,0.333333333333333,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,8.66666666666667,0,0,0.333333333333333,0,0,0.333333333333333,11.3333333333333,0,0,0,0,0,0,0,0
"IL4_9",1,0,0,0.333333333333333,2.66666666666667,1.33333333333333,0,7.33333333333333,18.6666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,36,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,8,0,0,0
"M1_1",0,1.66666666666667,0,0,0.666666666666667,7,0,15.6666666666667,0.666666666666667,0,2.33333333333333,0,0,0,0,0,0,0.666666666666667,0.666666666666667,0,0,0,0,0,1.66666666666667,6.33333333333333,0,0,0,0,0,1.33333333333333,0,0,0,21.6666666666667,4.33333333333333,0,0
"M1_10",0,0.666666666666667,0,0,0,0,0,9,0,0,1.33333333333333,0.333333333333333,0,0,0,0.333333333333333,0,2.33333333333333,0.666666666666667,0,0,0,0,0,0,4.33333333333333,0,4.66666666666667,0,0,0,1,0,0,0,44,0,0,0
"M1_2",1,0.666666666666667,0,2.33333333333333,3.66666666666667,0,0,14,2,0.666666666666667,0,0,0.666666666666667,0,0,0,0,1.33333333333333,0.666666666666667,0,0,6,0,0,3.66666666666667,9.33333333333333,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0,19.6666666666667,4,0,0
"M1_4",0,4.66666666666667,0,0.333333333333333,1.33333333333333,0,0,14,3.66666666666667,2,0.333333333333333,0,0,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0.666666666666667,10.6666666666667,0,2,0,0,0,1,0,0,0,17.3333333333333,7.66666666666667,0,0
"M1_5",1,0.333333333333333,0,1,5.33333333333333,1.66666666666667,0,14.3333333333333,22.3333333333333,1.66666666666667,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,4.33333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,26.3333333333333,0,0,0
"M1_6",0,2,0,0,0,8.33333333333333,0.666666666666667,20.6666666666667,15,0.666666666666667,1.66666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,3.66666666666667,0,3.33333333333333,0,0,0,0.666666666666667,0,0,0,18,3,0,0
"M1_7",0,1,0,0,0,12.3333333333333,0,10.3333333333333,0,0,18.6666666666667,0,0,0,0,0,0,2.33333333333333,0.333333333333333,0,0,0,0,0,0,3.33333333333333,0,2,0,0,0,1,0.333333333333333,0,0,25.3333333333333,0,0,0
"M1_8",0,0,0,0,0,4,1.33333333333333,22.6666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,2.33333333333333,0,0,0,0,8,0.333333333333333,0,29,0.666666666666667,0,0
"M2_1",2,0,0.333333333333333,1,5.33333333333333,0.666666666666667,0,17,35.6666666666667,1.33333333333333,0.333333333333333,0,1.66666666666667,0,0,0,0,0,0,1.33333333333333,0,8.66666666666667,0.666666666666667,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,11,0,0,0
"M2_10",0,4,0,0.333333333333333,0,6.33333333333333,0,21.6666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,1.66666666666667,1.33333333333333,0,0,23.6666666666667,0,0,0
"M2_3",0.333333333333333,0,0,0,6.66666666666667,1.33333333333333,0.666666666666667,9.66666666666667,37,2,0,0,0,0,0,0,0,0,0,1.66666666666667,0.333333333333333,19,0.333333333333333,0,0,0,0,2,0,0,0,0,0,0,0,7.66666666666667,0,0,0
"M2_5",0,2.66666666666667,0,0,0,3.66666666666667,0,17.3333333333333,26,2,0.333333333333333,0,0,1.66666666666667,0,0,0,0,1.33333333333333,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10.3333333333333,0.666666666666667,0,0
"M2_6",0,0.333333333333333,0,0,0,10.6666666666667,1.66666666666667,22.6666666666667,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,1,0,0,25,0,0,0
"M2_7",0,0,0,0,0,4.66666666666667,0,18.3333333333333,1.66666666666667,0,5,0,0,0,0,0,0,3.66666666666667,0,0,0,0,0,0,0,0.333333333333333,0,4,0,0,0,0,10,0.666666666666667,0,26,0,0,0
"M2_8",0,8,0,0,0,3,0,16.3333333333333,9.66666666666667,1,0.666666666666667,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0,1,3.66666666666667,0,1,0,0,0,3,0,0,0,34,0.333333333333333,0,0
