,ACHY,AMID,ARPU9,ARTR2,ARTR2.D,ATCA2,ATCA2.D,Bare.Soil,BOGR2,BRTE,CHLE4,ECCOC,ELEL5,EPVI,ERCI6,GRFA,GUSA2,GUSA2.D,HECO26,JUOS,KRLA2,LEMO2,OPPO,OPPO.D,PEPU7,PHAU3,PIED,PIED.D,PLPA2,SALSO,SPCR,CLLU2,LAOC3,SALSO.D,SPCO,HIJA
IL3_2,0,0,0,3.666666667,1.666666667,3.666666667,0.333333333,16.33333333,30.66666667,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.66666667,0,0,0,0,0
IL3_3,0,0,0,0,4.333333333,0.333333333,0,8,21,0,0,0,0,1,0,0,0.666666667,1,38.66666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0
IL3_4,0,0,0,7.666666667,2,0.333333333,0,19.33333333,26.66666667,0.333333333,0,0,0.333333333,0,0,0.333333333,2.333333333,0,10.66666667,0,0,0,0.333333333,0,0,0,0,0,0,0,6.333333333,0,0,0,0,0
IL3_6,0,0,0,4.666666667,2,0,0,23.33333333,25.66666667,0,0,0,0,0,0.666666667,0,0,0,2.333333333,0,0.666666667,0,0.333333333,0,0,0,0,0,0,0,12.66666667,0,0,0,0,0
IL3_7,0,0.333333333,0,1.333333333,1.666666667,1.666666667,0,14.66666667,33.66666667,3,0,0,0,0,0,0.333333333,2,0.333333333,14.33333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,7.666666667,0,0.333333333,0,0,0
IL3_9,0.333333333,0,0.333333333,7.333333333,4.333333333,0,0,19,20.33333333,0.333333333,0,0,0,0.333333333,0,0,2,1.333333333,23.33333333,0,0,0,1,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0
IL4_10,1.333333333,0,0,5.666666667,1.333333333,1.666666667,0.333333333,14.33333333,25,0,0,0,0,0,0,0,1,0,11.66666667,0,0,0,1.666666667,0,0,0,0,0,0,0,10.66666667,0,0.333333333,0,0,0
IL4_2,0.333333333,0,0,0.333333333,2.333333333,4.333333333,0.666666667,13.66666667,16.33333333,1,0,0,0,0,0,0,0.333333333,0.666666667,4,0,0,0,0.333333333,0,0,0,3,0,0,0,29,0,0.333333333,0,0,0
IL4_3,0,0,0,0,1,0.666666667,0,15,24.33333333,0,0,0,0,0,0,0,1,0,28,0,0.333333333,0,1.666666667,0,0,0,0,0,0,0,3.666666667,0,0,0,0,0
IL4_4,0,0,0,0,1.666666667,0.666666667,0,11.66666667,21.33333333,0,0,0.666666667,0,0.333333333,0,0,2.333333333,1.666666667,9.333333333,0,0,0,0.333333333,0.333333333,0,0,3.333333333,0,0,0,2.333333333,0,0,0,0,0
