"id","top","bottom","Horizon","DryRed","DryValue","DryCClass","MoistRed","MoistValue","MoistCClass","Texture","SandPercent","SandSize","ClayPercent","pH","EfferScale","Theta_fc","Theta_pwp","AWHC","HzNum",".id","Depth","DryHue","MoistHue","DryChroma","MoistChroma","Effervescence"
"B3_5",5,14,"Ap","2",5,"2","2",4,"2","L",50,"VF",15,7.6,"3",0.213599127,0.082595004,13.10041224,NA,2,9,"7.5YR","7.5YR","4",4,"ST"
"B3_5",14,49,"B","2",4,"2","2",3,"2","SL",60,"VF",18,7.8,"2",0.203324723,0.092677511,11.06472124,NA,3,35,"7.5YR","7.5YR","4",4,"SL"
"B3_5",49,64,"2B","2",5,"2","2",4,"2","L",35,"VF",19,8,"3",0.260148634,0.087764826,17.23838077,NA,4,15,"7.5YR","7.5YR","4",4,"ST"
"B3_5",64,148,"2B2","2",5,"2","2",4,"2","L",35,"VF",18,8,"3",0.260916133,0.085448608,17.54675254,NA,5,84,"7.5YR","7.5YR","4",4,"ST"
"B3_5",148,178,"3B","2",6,"3","2",4,"3","SL",70,"VF",7,8.2,"3",0.151075306,0.058220943,9.285436264,NA,6,30,"7.5YR","7.5YR","6",6,"ST"
"B3_6",0,5,"A","2",6,"2","2",4,"2","SL",70,"F",5,7.6,"1",0.144918306,0.053365269,9.155303766,NA,1,5,"7.5YR","7.5YR","4",3,"VS"
"B3_6",5,18,"B","2",6,"2","2",4,"2","SL",65,"F",5,8.2,"3",0.16366872,0.059024459,10.46442617,NA,2,13,"7.5YR","7.5YR","4",4,"ST"
"B3_6",18,80,"Bt","3",7,"3","3",5,"3","SL",55,"F",18,8.2,"3",0.209401718,0.091892628,11.75090901,NA,3,62,"5YR","5YR","6",6,"ST"
"B3_6",80,105,"B'","3",7,"3","3",5,"3","SL",60,"F",7,8.6,"2",0.181338524,0.065918486,11.54200385,NA,4,25,"5YR","5YR","6",6,"SL"
"B3_6",105,169,"B'2","3",8,"2","3",5,"3","SL",60,"F",7,8.8,"3",0.181338524,0.065918486,11.54200385,NA,5,64,"5YR","5YR","4",6,"ST"
"B3_6",169,169,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA
"B3_7",0,6,"A","2",6,"3","2",4,"2","SL",65,"F",3,7.6,"0",0.159904349,0.054985829,10.49185197,NA,1,6,"7.5YR","7.5YR","6",3,"NE"
"B3_7",6,32,"B","3",6,"3","3",5,"3","SL",70,"F",7,8,"3",0.151075306,0.058220943,9.285436264,NA,2,26,"5YR","5YR","6",6,"ST"
"B3_7",32,68,"B2","3",8,"2","3",6,"2","SL",70,"F",5,8.2,"3",0.144918306,0.053365269,9.155303766,NA,3,36,"5YR","5YR","4",4,"ST"
"B3_7",68,108,"B3","3",6,"3","3",4,"3","SL",75,"F",5,8.4,"3",0.121022648,0.046719307,7.430334021,NA,4,40,"5YR","5YR","6",6,"ST"
"B3_7",108,135,"B4","3",7,"2","3",5,"3","LS",80,"F",3,8.4,"3",0.083890239,0.038355544,4.553469578,NA,5,27,"5YR","5YR","4",6,"ST"
"B3_7",135,135,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA
"B3_8",0,5,"A","2",5,"3","2",3,"2","SL",70,"VF",5,7.3,"0",0.144918306,0.053365269,9.155303766,NA,1,5,"7.5YR","7.5YR","6",4,"NE"
"B3_8",5,50,"A2","2",5,"3","2",3,"2","SL",75,"VF",10,8.2,"2",0.142929541,0.060082649,8.284689241,NA,2,45,"7.5YR","7.5YR","6",4,"SL"
"B3_8",50,67,"AC","2",6,"2","2",5,"2","SL",75,"VF",10,8.2,"3",0.142929541,0.060082649,8.284689241,NA,3,17,"7.5YR","7.5YR","4",4,"ST"
"B3_8",67,95,"Cr","2",7,"2","2",5,"3","SL",60,"VF",10,8.4,"4",0.18588602,0.072333525,11.35524954,NA,4,28,"7.5YR","7.5YR","4",6,"VE"
