id,bottom,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,SandPercent,SandSize,ClayPercent,pH,Effervescence,Theta_fc,Theta_pwp,AWHC,HzNum
CLHS30P,27,89,Bw2,7.5YR,6,4,7.5YR,4,4,S,90,F,5,8.5,VE,0.060152168,0.051567856,0.858431167,3
CLHS30P,89,134,Bw3,7.5YR,7,3,7.5YR,4,6,S,90,M,3,8.7,VE,0.052818732,0.04698279,0.583594193,4
CLHS31P,0,8,A,5YR,5,6,5YR,4,6,SL,75,F,8,8.2,VE,0.133943934,0.054553391,7.939054282,1
CLHS31P,8,20,C,5YR,5,6,5YR,4,6,SL,80,F,8,8.2,VE,0.109640891,0.050402787,5.923810471,2
CLHS31P,20,20,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
CLHS32P,0,7,A,7.5YR,5,6,7.5YR,3,4,SL,75,VF,8,8,SL,0.133943934,0.054553391,7.939054282,1
CLHS32P,7,36,Bw1,7.5YR,5,6,7.5YR,4,6,SL,70,VF,15,8.5,VE,0.178985018,0.080127757,9.885726076,2
CLHS32P,36,114,Bw2,7.5YR,7,4,7.5YR,5,6,S,90,F,4,8.6,VE,0.056353114,0.049268856,0.708425839,3
CLHS32P,114,114,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
CLHS33P,0,9,A,7.5YR,7,4,7.5YR,5,6,LS,85,VF,6,8.1,VE,0.075697345,0.047402795,2.829454983,1
CLHS33P,9,24,Bw1,7.5YR,7,4,7.5YR,4,6,SL,75,VF,10,8.1,VE,0.142929541,0.060082649,8.284689241,2
CLHS33P,24,64,Bw2,7.5YR,7,4,7.5YR,5,6,LS,80,VF,7,8.3,VE,0.104209268,0.047858639,5.635062899,3
CLHS33P,64,86,Bw3,7.5YR,7,6,7.5YR,5,6,LS,80,VF,7,8.6,VE,0.104209268,0.047858639,5.635062899,4
CLHS33P,86,86,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
CLHS34P,0,9,A,7.5YR,7,4,7.5YR,4,4,LS,80,F,5,8,SL,0.093772599,0.042975928,5.079667113,1
CLHS34P,9,19,Bw,7.5YR,7,4,7.5YR,4,4,LS,85,F,5,8.2,ST,0.070626535,0.045199005,2.542753,2
CLHS34P,19,19,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
CLHS35P,0,10,A,5YR,6,6,5YR,5,6,LS,85,VF,4,8.1,ST,0.065823054,0.043023621,2.27994333,1
CLHS35P,10,32,Bk1,5YR,6,6,5YR,5,6,LS,85,VF,6,8.4,VE,0.075697345,0.047402795,2.829454983,2
CLHS35P,32,77,C,5YR,5,6,5YR,4,6,LS,85,F,10,8.5,VE,0.09883122,0.05656743,4.226379012,3
CLHS35P,77,77,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
CLHS36P,0,7,A,5YR,6,6,5YR,5,6,LS,80,VF,5,8.1,VS,0.093772599,0.042975928,5.079667113,1
CLHS36P,7,40,Bk1,5YR,6,6,5YR,5,6,LS,85,VF,7,8.6,VE,0.081049151,0.049641242,3.140790895,2
CLHS36P,40,92,Bk2,5YR,7,4,5YR,4,4,LS,85,F,5,8.6,VE,0.070626535,0.045199005,2.542753,3
CLHS36P,92,152,Bk3,5YR,7,4,5YR,4,4,LS,80,F,8,8.6,VE,0.109640891,0.050402787,5.923810471,4
CLHS37P,0,7,A,7.5YR,7,4,7.5YR,4,4,LS,85,F,4,8,VE,0.065823054,0.043023621,2.27994333,1
CLHS37P,7,17,C,7.5YR,8,2,7.5YR,5,4,LS,85,F,4,8.4,VE,0.065823054,0.043023621,2.27994333,2
CLHS37P,17,17,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
CLHS38P,0,7,A,5YR,5,4,5YR,4,3,VFSL,72,VF,11,8,NE,0.158150474,0.066456476,9.16939977,1
CLHS38P,7,85,AB,5YR,6,6,5YR,4,6,VFSL,75,VF,8,8.2,SL,0.133943934,0.054553391,7.939054282,2
CLHS38P,85,94,Bk,5YR,7,4,5YR,4,4,FSL,77,F,9,8.3,VE,0.129462962,0.055123567,7.433939462,3
CLHS38P,94,94,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
CLHS39P,0,8,A,5YR,6,6,5YR,4,6,LS,80,VF ,6,8.1,VE,0.098915741,0.045378855,5.353688629,1
